"በኢትዮጵያ አዲስ የተዋቀረው የትምህርት ካሪኩለም የአንደኛ ደረጃ ትምህርትን የአፍ መፍቻ ቋንቋን መሰረት ያደረገ እንዲሆን ቅድሚያ ይሰጣል።",0
"የ12ኛ ክፍል ብሄራዊ የዩኒቨርሲቲ መግቢያ ፈተናን በበላይነት የሚያስተዳድረው የትምህርት ምዘናና ፈተናዎች አገልግሎት (EAES) ነው።",0
"አዲሱ የትምህርት መዋቅር 6 ዓመት የአንደኛ ደረጃ፣ 3 ዓመት የመካከለኛ ደረጃ እና 3 ዓመት የሁለተኛ ደረጃ (6-3-3) ትምህርት ስልትን ይከተላል።",0
"የሀገሪቱ የትምህርት ፖሊሲ በሕዝብ አጠቃላይ ትምህርት ቤቶች ውስጥ ማንኛውንም ሃይማኖታዊ ወይም ፖለቲካዊ ዶክትሪን ማስተማርን ይከለክላል።",0
"የትምህርት ሚኒስቴር የ12ኛ ክፍል ብሄራዊ ፈተና ኩረጃን ለመከላከል ሲል ፈተናው በሕዝብ ዩኒቨርሲቲ ግቢዎች ውስጥ እንዲሰጥ ማድረጉ ይታወቃል።",0
"አዲስ አበባ ዩኒቨርሲቲ (AAU) የራሱን አካዳሚያዊ እና አስተዳደራዊ ውሳኔዎች በራሱ ማስተዳደር የሚያስችለውን የራስ-ገዝ (Autonomous) መብት አግኝቷል።",0
"በኢትዮጵያ ውስጥ የሕዝብ ዩኒቨርሲቲ የመጀመሪያ ዲግሪ ተማሪዎች የምግብና የመኝታ ወጪያቸውን ከምረቃ በኋላ በስራ ታክስ መልክ የሚከፍሉበት የወጪ መጋራት (Cost-sharing) ስምምነት አለ።",0
"የመንግስት የመጀመሪያ ደረጃ ትምህርት ቤቶች የሕጻናትን የትምህርት ተሳትፎና በአጠቃላይ ትምህርት ገበታ የመቆየት ምጣኔን ለማሻሻል የምግብ ፕሮግራም ይተገብራሉ።",0
"በአሁኑ ወቅት የኢትዮጵያ ትምህርት ሚኒስትር ሆነው በማገልገል ላይ የሚገኙት ፕሮፌሰር ብርሃኑ ነጋ ናቸው።",0
"በሁለተኛ ደረጃ ትምህርት ቤት ተማሪዎች ከ11ኛ ክፍል ጀምሮ በተፈጥሮ ሳይንስ (Natural Science) እና በማኅበራዊ ሳይንስ (Social Science) ዘርፍ ተለይተው ይማራሉ።",0
"የመንግስት ዩኒቨርሲቲ መምህራን በአንደኛ ዲግሪ ፕሮግራሞች ላይ ለማስተማር ቢያንስ የማስተርስ (Master's) ዲግሪ ሊኖራቸው ይገባል።",0
